Ticker,Vencimento,Dias úteis,F.M. ,Mod.,Strike,A/I/OTM,Dist. (%) do Strike,Último,Var. (%),Data/Hora,Núm. de Neg.,Vol. Financeiro,Vol. Impl. (%),Delta,Gamma,Theta ($),Theta (%),Vega,IQ,Coberto,Travado,Descob.,Tit.,Lanç.
PETRG155,18/07/2025,33,,A,14.8,ITM,"-5,210","1,608",,28/04/2025,2,"3.208,00",480,"9,997",2,-82,-5,172,,,,,,
PETRF23,20/06/2025,13,,A,22.76,ITM,"-2,634",880,-538,23/05/2025,71,"124.214,00",490,"10,000",0,-132,-15,0,140,0,40,23.3,7,5
PETRF265W1,06/06/2025,4,,A,26.5,ITM,"-1,424",467,-351,30/05/2025,4,"18.680,00",498,"9,901",122,-210,-45,"1,158",50,0,900,700,1,2
PETRG600,18/07/2025,33,,E,56.55,OTM,"+83,01",1,0,12/05/2025,50,"91,000",526,69,27,-13,"-1,259","2,639","2,067",0,1.231.400,100.4,62,3
PETRF48,20/06/2025,13,,E,47.51,OTM,"+53,75",4,,19/05/2025,1,"4,000",592,202,85,-64,"-1,600","4,712",100,0,1,0,1,1
PETRG200,18/07/2025,33,,E,16.55,ITM,"-4,644","1,485",-126,30/05/2025,1,"1.485,00",630,"10,000",0,-95,-6,0,31,4.6,17.1,16.5,4,13
PETRF632,20/06/2025,13,,E,62.51,OTM,"+102,30",1,,12/05/2025,4,"31.426,00",720,44,17,-19,"-1,900","1,380",200,0,0,3.142.600,2,1
PETRF184,20/06/2025,13,,A,17.76,ITM,"-4,252","1,343",-641,30/05/2025,1,"6.715,00",888,"10,000",0,-102,-8,0,75,0,38.1,35.8,3,4
PETRF172,20/06/2025,13,,E,16.51,ITM,"-4,657","1,487",-152,29/05/2025,9,"493.356,00",976,"9,941",19,-131,-9,"1,488",23,3.8,24.8,128.7,3,13
PETRF202,20/06/2025,13,,A,18.26,ITM,"-4,091","1,297",-167,30/05/2025,3,"9.082,00","1,170","9,718",66,-275,-21,"5,398",89,700,283.1,12.5,8,9
